authors,name,price,publisher,rating,tags
风染白,好久不见，秦先生(上、下册）,￥6.99,天津爱悦读科技有限公司,8.5,"小说,文学,爱情,生活,青春"
雷米,心理罪之暗河,￥9.99,北京华章同人文化传播有限公司,9.6,"方木,毒树之果,月光的谎言,悬疑推理,心理画像,两生花,教化场,杀人狂,小说"
木心,哥伦比亚的倒影,￥12.00,理想国,9.2,"文化,散文,文学,中国文学,中国,随笔,散文随笔"
桐华,长相思2,￥6.99,天津博集新媒科技有限公司,9.7,"小说,文学,言情"
沈沧眉,狐狸的夏天,￥5.99,中南天使（湖南）文化传媒有限公司,8,"小说,爱情,文学,豪门,职场,热血"
斯科特,如何高效学习,￥16.00,北京华章图文信息有限公司,8.6,"学习方法,思维,学习,方法论,个人管理,整体性学习,思维方法,成功励志,思维与智力"
公子凉夜,岁月知道我爱你,￥6.99,北京博阅天下文化传播有限公司,9.7,"小说,文学,爱情,青春,生活"
,Jfinal极速开发实战,￥55.55,,9.4,
弗朗西斯·福山,历史的终结与最后的人,￥46.80,北京理想国时代文化有限责任公司,,文学
常书欣,余罪：我的刑侦笔记4,￥20.62,上海读客图书有限公司,9.3,
[英]夏洛蒂·勃朗特著;宋兆霖译,简爱（世界十大文学名著）,￥11.50,北京凤凰壹力文化发展有限公司,9.8,"夏洛蒂,世界十大文"
桐华,曾许诺（套装共2册）（全新修订版）,￥13.99,中南博集天卷文化传媒有限公司,9.3,
金程教育,CFA注册金融分析师考试中文手册（CFA一级）第2版,￥30.00,北京华章图文信息有限公司,10,"学习考试与,教育,财务报表,考试,中国,金融,分析,自学参考资,资格考试"
圣埃克絮佩里,小王子,￥9.99,上海译文出版社,8.4,
书海沧生,十年一品温如言,￥14.99,北京白马时光文化发展有限公司,9.7,"小说,文学,宫斗,爱情,生活,权谋"
刚雪印,犯罪心理档案(共4册),￥35.99,天津博集新媒科技有限公司,9.2,"小说,推理,文学,悬疑"
匪我思存,佳期如梦之海上繁花,￥6.99,北京记忆坊文化信息咨询有限公司,9.2,"都市文,锥心之恋,言情,极品男人,来不及说我,三角恋,深情,虐恋,小说,千山暮雪"
何马,藏地密码（珍藏版全10册）,￥149.70,上海读客图书有限公司,8.7,"信仰,文学,自然崇拜,符号,藏传佛教,奇幻,探险,西藏,藏地密码,悬疑,中国,中国文学,小说,藏獒,宗教"
冯唐,北京三部曲,￥32.00,杭州果麦文化传媒有限公司,9.6,"当代文学,情感,北京,社会,严肃小说"
顾西爵,最美遇见你,￥10.00,北京中作华文数字传媒股份有限公司,9.5,"小说,爱情,言情"
未眠君,宠你到世界尽头,￥4.00,长沙大鱼文化传媒有限公司,8.8,"都市言情,青春,腹黑,总裁,言情,青梅竹马,男神,霸道,小说,逆袭"
琼瑶,还珠格格1-3部（套装共8册）,￥125.99,天津博集新媒科技有限公司,,
二混子,半小时漫画中国史,￥19.95,上海读客图书有限公司,9.6,"中国古代史,中国通史,历史普及读"
[美]约翰C.麦克斯维尔,领导力21法则：追随这些法则，人们就会追随你,￥27.00,上海读客图书有限公司,8.6,"领导力,中层领导力,经管,组织,福布斯,纽约时报,商业周刊,华尔街日报,领导力大师,西点军校"
冯唐,北京，北京（《春风十里不如你》原著小说）,￥18.00,杭州果麦文化传媒有限公司,7.7,"小说,青春,社会,言情,北京,现代"
南无袈裟理科佛,苗疆蛊事（全16册）,￥95.99,广西师范大学出版社（上海）有限公司,9.5,"小说,玄幻,当代,道术,诡异,灵异,奇幻,风水,异术"
冶文彪,清明上河图密码：隐藏在千古名画中的阴谋与杀局（共4册）,￥97.80,上海读客图书有限公司,8.6,"悬疑,推理,历史"
